order,title,link0,link1,link2,link3,link4,link5,link6,link7,link8,link9,link10
1A,Introduction,https://frontendmasters.com/bootcamp/,https://members.onepeloton.com/members/btholt/overview,https://twitter.com/ImNikiHolt,https://anniecannons.org/invest,https://thelastmile.org/donate/,https://vetswhocode.io/donate,http://lcycwa.org/donate,https://twitter.com/holtbt,https://linkedin.com/in/btholt,https://github.com/btholt,https://members.onepeloton.com/members/btholt/overview
1B,The Exercises,https://codesandbox.io/s/upbeat-leftpad-8kdjr?fontsize=14&hidenavigation=1&theme=dark,https://codesandbox.io/static/img/play-codesandbox.svg,https://github.com/btholt/algorithms-exercises,,,,,,,,
2A,Big O,,,,,,,,,,,
2B,Spatial Complexity,,,,,,,,,,,
2C,Trade Offs,,,,,,,,,,,
3A,Bubble Sort,https://creativecommons.org/licenses/by-sa/2.5,https://codesandbox.io/s/algorithms-exercises-8kdjr?file=/specs/bubble-sort/bubble-sort.test.js,https://codesandbox.io/static/img/play-codesandbox.svg,https://github.com/btholt/algorithms-exercises/blob/main/specs/bubble-sort/bubble-sort.test.js,,,,,,,
3B,Insertion Sort,https://creativecommons.org/licenses/by-sa/3.0,https://codesandbox.io/s/algorithms-exercises-8kdjr?file=/specs/insertion-sort/insertion-sort.test.js,https://codesandbox.io/static/img/play-codesandbox.svg,https://github.com/btholt/algorithms-exercises/blob/main/specs/insertion-sort/insertion-sort.test.js,,,,,,,
4A,Recursion,https://en.wikipedia.org/wiki/Fibonacci_number,https://codesandbox.io/s/upbeat-leftpad-8kdjr?file=/specs/recursion/nested-arrays.test.js,https://codesandbox.io/static/img/play-codesandbox.svg,https://github.com/btholt/algorithms-exercises/blob/main/specs/recursion/nested-arrays.test.js,https://codesandbox.io/s/upbeat-leftpad-8kdjr?file=/specs/recursion/recursion.test.js,https://codesandbox.io/static/img/play-codesandbox.svg,https://github.com/btholt/algorithms-exercises/blob/main/specs/recursion/factorials.test.js,,,,
4B,Merge Sort,https://creativecommons.org/licenses/by-sa/3.0,https://codesandbox.io/s/algorithms-exercises-8kdjr?file=/specs/merge-sort/merge-sort.test.js,https://codesandbox.io/static/img/play-codesandbox.svg,https://github.com/btholt/algorithms-exercises/blob/main/specs/merge-sort/merge-sort.test.js,,,,,,,
4C,Quick Sort,http://creativecommons.org/licenses/by-sa/3.0/,https://codesandbox.io/s/algorithms-exercises-8kdjr?file=/specs/quick-sort/quick-sort.test.js,https://codesandbox.io/static/img/play-codesandbox.svg,https://github.com/btholt/algorithms-exercises/blob/main/specs/quick-sort/quick-sort.test.js,,,,,,,
5A,Radix Sort,https://visualgo.net,https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/Array/push,https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/Array/shift,https://codesandbox.io/s/algorithms-exercises-8kdjr?file=/specs/radix-sort/radix-sort.test.js,https://codesandbox.io/static/img/play-codesandbox.svg,https://github.com/btholt/algorithms-exercises/blob/main/specs/radix-sort/radix-sort.test.js,,,,,
6A,Binary Search,https://codesandbox.io/s/algorithms-exercises-8kdjr?file=/specs/search/search.test.js,https://codesandbox.io/static/img/play-codesandbox.svg,https://github.com/btholt/algorithms-exercises/blob/main/specs/search/search.test.js,,,,,,,,
7A,ArrayList,https://codesandbox.io/s/algorithms-exercises-8kdjr?file=/specs/arrays/arraylist.test.js,https://codesandbox.io/static/img/play-codesandbox.svg,https://github.com/btholt/algorithms-exercises/blob/main/specs/arrays/arraylist.test.js,,,,,,,,
7B,LinkedList,https://visualgo.net,https://codesandbox.io/s/algorithms-exercises-8kdjr?file=/specs/arrays/linkedlist.test.js,https://codesandbox.io/static/img/play-codesandbox.svg,https://github.com/btholt/algorithms-exercises/blob/main/specs/arrays/linkedlist.test.js,,,,,,,
8A,Binary Search Tree,https://codesandbox.io/s/algorithms-exercises-8kdjr?file=/specs/bst/bst.test.js,https://codesandbox.io/static/img/play-codesandbox.svg,https://github.com/btholt/algorithms-exercises/blob/main/specs/bst/bst.test.js,,,,,,,,
